Z_Position_mm,D4sigma_Eff_um,D4sigma_X_um,D4sigma_Y_um,Azimuth_deg
1.0,48.30947180220146,40.28573583301131,57.93917826689112,-60.00220439697296
1.0222222222222221,41.87689600335158,34.11195134343626,51.40032578684678,-60.000863538574364
1.0444444444444445,35.56199587417892,28.1852167049897,44.89089585844662,-59.96335174027586
1.0666666666666667,29.5720795209765,22.716141070130156,38.47960213263756,-59.97950205297973
1.0888888888888888,24.276998355298492,18.276650124384133,32.22968479352075,-60.03569351630968
1.1111111111111112,20.46340673206827,15.810340825608694,26.515729545672507,-59.902523110206076
1.1333333333333333,18.471626649396555,16.05615938501051,21.242937131607935,-60.5563278295846
1.1555555555555554,18.2214433378273,19.131603810742604,17.342825257097847,29.511319546799527
1.1777777777777778,19.18138953685289,23.708729219247473,15.526103339874787,30.11034171458266
1.2,22.165965750772575,29.345850391231323,16.760836550580635,30.076346589899714
