Z_Position_mm,D4sigma_Eff_um,D4sigma_X_um,D4sigma_Y_um,Azimuth_deg
0.0,344.2689995386894,335.4032859919546,353.353671635089,-60.0552901670077
0.1,317.0923153105034,308.1726834767288,326.2665613598623,-60.055276278574254
0.2,285.2189272857384,276.35832715360254,294.3375787293236,-60.032276705776084
0.30000000000000004,256.082656196856,247.25331772587236,265.25145997115226,-59.99538229928802
0.4,225.16583695919687,216.37532305552799,234.30584528162018,-59.96897291895506
0.5,196.13184347654487,187.32020441709594,205.32512176326904,-59.97182765673724
0.6000000000000001,166.01244883460078,157.2797620175978,175.25315990398013,-59.970494909928036
0.7000000000000001,135.26926716286553,126.61231521483121,144.50716149024348,-60.00924639168104
0.8,105.39547411938025,96.88488058733253,114.68222520953819,-60.032353096729096
0.9,76.32292766804551,67.9894159691246,85.69480646245404,-59.8755340105044
1.0,46.816012878686735,39.035037962374275,56.12750762665087,-60.03306312951645
1.1,21.566365657259635,16.259215650221517,28.61553426970759,-59.916719546133535
1.2000000000000002,21.613808153670682,28.611037837696493,16.325873225000628,30.132529867483115
1.3,46.700358085239785,55.92558119588794,38.98600540031785,30.090503983188142
1.4000000000000001,76.31002807938259,85.67567297550605,67.96965642891467,29.888905334392966
1.5,105.56305748630248,114.80793616957538,97.05603632197597,30.00842480918603
